127.0.0.1 - - [25/Nov/2014:11:34:52 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:34:53 +0100] "GET /WholesalerWebDemo/ HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:35:01 +0100] "GET /WholesalerWebDemo/ HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:35:01 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:35:01 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:35:07 +0100] "GET /WholesalerWebDemo/controllerservlet;jsessionid=8B7638120DA75CF90A907B4A656A4727?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:35:07 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:35:08 +0100] "GET /WholesalerWebDemo/controllerservlet?action=import HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:11:35:09 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:14:32 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:14:44 +0100] "GET /WholesalerWebDemo/controllerservlet?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:14:44 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:14:49 +0100] "GET /WholesalerWebDemo/controllerservlet?action=import HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:14:49 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:15:16 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showOrderList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:15:17 +0100] "GET /WholesalerWebDemo/orders.jsp HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:15:17 +0100] "GET /WholesalerWebDemo/images/buttons/refresh.png HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:15:17 +0100] "GET /WholesalerWebDemo/controllerservlet?action=import HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:15:17 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:17:15 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:19:47 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:21:16 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:21:36 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:22:07 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:22:31 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:22:50 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:31:11 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:31:15 +0100] "GET /WholesalerWebDemo/controllerservlet?action=import HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:12:31:15 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:18:57 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:19:01 +0100] "GET /WholesalerWebDemo/controllerservlet?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:19:01 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:19:03 +0100] "GET /WholesalerWebDemo/controllerservlet?action=import HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:19:03 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:21:49 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:22:05 +0100] "GET /WholesalerWebDemo/controllerservlet?action=import HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:22:05 +0100] "GET /WholesalerWebDemo/importAction.jsp HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [25/Nov/2014:13:37:19 +0100] "GET /WholesalerWebDemo/controllerservlet?action=import HTTP/1.1" 302 -
